company_name,city,latitude,longitude,zip_code
Joost,New York,40.7464969,-74.0094471,10011-6903
Kyte,San Francisco,37.788482,-122.409173,94102
Stickam,Los Angeles,34.051409,-118.254558,90071
Livestream,New York,40.726155,-73.995625,10011
Ustream,San Francisco,37.392936,-122.07948,94107
Pando Networks,New York,40.722655,-73.99873,10012
Revision3,San Francisco,37.757758,-122.388243,94107
CastTV,San Francisco,37.780716,-122.393913,94107
blinkx,San Francisco,37.793819,-122.395089,94105
hi5,San Francisco,37.788668,-122.400558,94105
Curse,San Francisco,37.787092,-122.399972,94111
Metacafe,San Francisco,37.437328,-122.159928,94107
IODA,San Francisco,37.780134,-122.396744,94107
Kongregate,San Francisco,37.786942,-122.401245,94105
DanceJam,San Francisco,37.781557,-122.407959,94103
JumpTV,New York,40.705898,-74.011398,10004
Mevio,San Francisco,37.782263,-122.392142,94107
SpiralFrog,New York,37.09024,-95.712891,10014
Crunchyroll,San Francisco,37.781265,-122.393229,94105
hulu,Los Angeles,34.031276,-118.456806,90064
Rupture,San Francisco,37.783898,-122.395234,94107
Vimeo,New York,40.7453721,-74.0078293,10011-2822
Motionbox,New York,40.606061,-73.822331,10004
WeShow,New York,40.752516,-73.973072,10017
PlayFirst,San Francisco,37.790346,-122.40185,94105
Zynga,San Francisco,37.765158,-122.404234,94103
Qtrax,New York,40.748641,-73.981947,10016
Gawker Media,New York,40.757929,-73.985506,10012
Paramount Pictures,New York,40.7577017,-73.9858165,10036
Social Gaming Network,Los Angeles,37.446823,-122.161523,90035
Boonty,New York,40.717248,-74.002662,10013
Dotsub,New York,40.7680901,-73.9566761,10021
Cellufun,New York,40.73993,-73.9930489,10011
South Park Studios,New York,40.766332,-73.981828,10019
NEHST Studios,New York,40.75451,-73.992193,10018
Sutros,San Francisco,37.756922,-122.42087,94110
Modern Feed,Los Angeles,34.085749,-118.343791,90038
Serious Business,San Francisco,37.7893215,-122.4013624,94104
Kabam,San Francisco,37.3944561,-122.0785314,94107
Citizen Sports,San Francisco,37.777513,-122.397044,94107
GameFly,Los Angeles,33.934558,-118.3962622,90066
iWin,San Francisco,37.781689,-122.391061,94105
MeDeploy,Los Angeles,34.1395597,-118.3870991,91604
Vroengard Academy,New York,40.765283,-73.982007,10019
Marvel Entertainment,New York,40.750576,-73.982713,10016
Soundwalk,New York,40.722266,-73.999044,10012
eBaum's World,San Francisco,37.786393,-122.3987745,94105
Overstream,San Francisco,37.791391,-122.402859,94104
Fandango,Los Angeles,34.031646,-118.455352,90064
My Damn Channel,New York,40.754762,-73.988543,10018
Spill,New York,40.72616,-74.006023,10013
GigMaven,New York,40.724289,-73.980587,10009
Scavenja,San Francisco,37.780134,-122.396744,94107
Lexy,San Francisco,37.786906,-122.397672,94105
ngmoco,San Francisco,37.7705096,-122.4015807,94107
InChairTV,New York,40.80405,-73.952833,10026
Tubefilter,Los Angeles,34.070436,-118.350486,90036
Shattered Reality Interactive,San Francisco,37.783046,-122.394067,94107
plaYce,San Francisco,37.80204,-122.438231,94123
Kidos,New York,40.768058,-73.956599,10021
Brightstorm,San Francisco,37.804619,-122.371203,94105
FanPrice,Los Angeles,38.233786,-122.636071,90049
SportsGenie,Los Angeles,34.0522,-118.2429,90051-6681
Sceneclips,Los Angeles,34.05438,-118.26728,90017
Mybandstock,Los Angeles,42.2802675,-83.7420579,90027
Booyah,San Francisco,37.420728,-122.2103414,94107
GotGame,San Francisco,37.77772,-122.395785,94107
For Your Imagination,New York,40.744594,-73.989698,10001
SonicLiving,San Francisco,37.8448035,-122.290897,94103
TubeSpree,San Francisco,37.781386,-122.421406,94102-3200
MovieFlix,Los Angeles,34.070146,-118.365526,90048
Pilotlite,New York,40.7166822,-74.005398,10013
Gawkk,New York,40.778635,-73.984438,10023
Indee,San Francisco,37.8053241,-122.4052761,94133
Creative Artists Agency,Los Angeles,34.0586832,-118.4158174,90067
Robotgalaxy,New York,40.737216,-73.990947,10003
Heyzap,San Francisco,37.7905538,-122.4041485,94108
Cinelan,New York,40.720699,-73.998107,10013
Comixology,New York,40.740512,-73.987794,10010-4436
MindSmack,New York,40.758492,-73.989987,10036
CollegeClickTV,New York,40.7495594,-73.9916617,10119
Blip'd,Los Angeles,34.0760614,-118.3729534,90048
Major League Gaming,New York,40.752672,-73.97593,10016
SwitchGames,New York,40.7297485,-73.9867361,10013
Crispy Gamer,New York,40.750597,-73.985273,10018
Unity Technologies,San Francisco,55.6924605,12.530107,94107
Moogi,New York,40.7217861,-74.0094471,10013
Silvatar Media,Los Angeles,34.1036353,-118.293316,90027
Saavn,New York,40.743877,-73.98618,10016
Sticher,San Francisco,37.8093381,-122.4166061,94111
Exent,New York,40.7523796,-74.005568,10001
Mondo Media,San Francisco,37.764169,-122.402021,94103
Film Annex,New York,40.7464969,-74.0094471,10011
FremantleMedia Ventures,New York,40.7439449,-73.9855424,10016
DJ Nitrogen,San Francisco,37.7841737,-122.4494082,94118
