,name,local,latitude,longitude
0,Starbucks,starbucks,37.7891481546,-122.4084517461
1,Starbucks,starbucks,37.787988923,-122.4075222681
2,Starbucks,starbucks,37.78712238,-122.4106742
3,Starbucks,starbucks,37.78936,-122.40682
4,Starbucks,starbucks,37.78617,-122.40906
5,Starbucks,starbucks,37.79042546,-122.4057733
6,Starbucks,starbucks,37.78615912,-122.4056946
7,Chisme,vegan,37.7884671561,-122.4148023971
8,Starbucks,starbucks,37.7841431437,-122.4075961178
9,Starbucks,starbucks,37.7908174192,-122.4040255818
10,Starbucks,starbucks,37.78736,-122.40318
11,Starbucks,starbucks,37.7846048234,-122.4040778421
12,Starbucks,starbucks,37.789594,-122.402032
13,Starbucks,starbucks,37.79219,-122.40354
14,Starbucks,starbucks,37.7928208876,-122.4042928219
15,Starbucks,starbucks,37.7842313689,-122.4039853612
16,Starbucks,starbucks,37.7887916506,-122.4007102485
17,Nourish Cafe,vegan,37.7905285343,-122.4172961543
18,"CDC Executive Sedan and Limo transportation, SFO",travel,37.7871076,-122.4177474
19,Starbucks,starbucks,37.7911044959,-122.4009510945
20,Jane,vegan,37.7865138769,-122.4182649141
21,Starbucks,starbucks,37.794613,-122.40268
22,Olea,vegan,37.7908686839,-122.4190000622
23,Ike's Sandwiches,vegan,37.7851455976,-122.4196290626
24,Vegan Picnic Polk St,vegan,37.788959,-122.420448
25,Kasa Indian Eatery,vegan,37.7896553215,-122.4204494248
26,Starbucks,starbucks,37.78946201,-122.3975822
27,Batter Bakery,vegan,37.7895513579,-122.4207755503
28,Thai Idea Vegetarian Restaurant,vegan,37.783395,-122.419141
29,Brenda's French Soul Food,vegan,37.7828964091,-122.41889745
30,Starbucks,starbucks,37.7896507952,-122.3966218115
31,Starbucks,starbucks,37.7857823575,-122.3966867519
32,Starbucks,starbucks,37.788567,-122.42222
33,Starbucks,starbucks,37.790268,-122.422066
34,Stoner's,vegan,37.782448,-122.4205
35,Starbucks,starbucks,37.79011,-122.39561
36,Invisa Logistic Services inc.,travel,37.7821502686,-122.4209899902
37,Whole Foods Market,vegan,37.7900143916,-122.4233835631
38,Starbucks Reserve,starbucks,37.7915737346,-122.395215301
39,Starbucks,starbucks,37.77708998,-122.4172976
40,Starbucks,starbucks,37.7967981384,-122.4220575745
41,Woodblock,vegan,37.778018,-122.421525
42,Baia,vegan,37.77815,-122.421775
43,Starbucks,starbucks,37.80284116,-122.4029817
44,Waraku,vegan,37.7857204549,-122.4287679073
45,San Wang Restaurant,vegan,37.7857382965,-122.4293957161
46,Blue Bottle Coffee,vegan,37.7764301318,-122.4232236012
47,Benkyodo,vegan,37.7864224821,-122.4300526301
48,Urban Remedy,vegan,37.7766503143,-122.4241549015
49,Smitten Ice Cream,vegan,37.7762728786,-122.4242347862
50,Patxi's Chicago Pizza,vegan,37.7765487334,-122.4249166115
